,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
11621,707014,07/09/2007,2007,7,200 BLOCK,S Hartle St,07/10/2007,Weeds/Grass,City Abated,07/18/2007,Not Available,False,0.0,"200 S Hartle St
Urbana, IL
(40.111760734, -88.192100337)",40.111760734,-88.192100337
11622,18-000221,03/01/2018,2018,3,800 Block,W Hill Street,03/01/2018,Municipal Waste,Voluntarily Complied,03/12/2018,Phone,False,0.0,"800 W Hill Street
Urbana, IL
(40.11924761, -88.21700455)",40.11924761,-88.21700455
11625,1504004,04/13/2015,2015,4,800 BLOCK,N Coler Av,04/13/2015,Municipal Waste,Owner Abated,04/21/2015,Not Available,False,0.0,"800 N Coler Av
Urbana, IL
(40.119234114, -88.215600218)",40.119234114,-88.215600218
11628,705054,05/10/2007,2007,5,1400 BLOCK,E Michigan Av,05/10/2007,Weeds/Grass,City Abated,05/18/2007,Not Available,False,0.0,"1400 E Michigan Av
Urbana, IL
(40.101732473, -88.191813257)",40.101732473,-88.191813257
11630,18-000621,06/11/2018,2018,6,600 Block,W California Avenue,06/11/2018,Municipal Waste,Voluntarily Complied,06/19/2018,Phone,False,0.0,"600 W California Avenue
Urbana, IL
(40.108376282, -88.214556185)",40.108376282,-88.214556185
11631,1411009,11/26/2014,2014,11,500 BLOCK,W High St,11/26/2014,Weeds/Grass,City Abated,11/27/2014,Not Available,False,0.0,"500 W High St
Urbana, IL
(40.109926211, -88.21322635)",40.109926211,-88.21322635
11632,1209029,09/13/2012,2012,9,400 BLOCK,E California Av,09/13/2012,Municipal Waste,Owner Abated,09/21/2012,Not Available,False,0.0,"400 E California Av
Urbana, IL
(40.108577968, -88.203585988)",40.108577968,-88.203585988
11633,21-001329,06/15/2021,2021,6,500 Block,West Springfield Avenue,06/15/2021,Municipal Waste,Voluntarily Complied,06/23/2021,Phone,False,0.0,"500 West Springfield Avenue
Urbana, IL
(40.112407301, -88.213274904)",40.112407301,-88.213274904
11634,1409031,09/18/2014,2014,9,1200 BLOCK,S Lynn St,09/18/2014,Municipal Waste,Owner Abated,09/26/2014,Not Available,False,0.0,"1200 S Lynn St
Urbana, IL
(40.103536007, -88.197816797)",40.103536007,-88.197816797
11635,22-001489,05/26/2022,2022,5,2000 Block,East Michigan Avenue,05/26/2022,Weeds/Grass,Voluntarily Complied,06/03/2022,Phone,False,0.0,"2000 East Michigan Avenue
Urbana, IL
(40.101807193, -88.183015876)",40.101807193,-88.183015876
