Address,Price,Beds,Source,URL
"713-717 S Randolph St, Champaign, IL 61820",$850,3 beds,apartments.com,https://www.apartments.com/the-courtyard-on-randolph-champaign-il/30gpbsd/
"303 W Green St, Champaign, IL 61820",$925,1 bed,apartments.com,https://www.apartments.com/midtown-center-champaign-il/lkf778e/
"303 W Green St, Champaign, IL 61820",$512 – $600,2 beds,apartments.com,https://www.apartments.com/midtown-center-champaign-il/lkf778e/
"303 W Green St, Champaign, IL 61820",$450,3 beds,apartments.com,https://www.apartments.com/midtown-center-champaign-il/lkf778e/
"404 Edgebrook Dr, Champaign, IL 61820",$615,Studio,apartments.com,https://www.apartments.com/windcrest-apartments-champaign-il/p8ggsts/
"404 Edgebrook Dr, Champaign, IL 61820",$750 – $765,1 bed,apartments.com,https://www.apartments.com/windcrest-apartments-champaign-il/p8ggsts/
"404 Edgebrook Dr, Champaign, IL 61820",$830,2 beds,apartments.com,https://www.apartments.com/windcrest-apartments-champaign-il/p8ggsts/
"808 N Lincoln Ave, Urbana, IL 61801",$995,2 beds,apartments.com,https://www.apartments.com/808-n-lincoln-ave-urbana-il/cxxdl5d/
"813 W Main St, Urbana, IL 61801",$995,2 beds,apartments.com,https://www.apartments.com/813-w-main-urbana-il/shcy6h7/
"211 N Central Ave, Urbana, IL 61801",$835,1 bed,apartments.com,https://www.apartments.com/211-n-central-urbana-il/y5w3vdt/
"208 N Harvey St, Urbana, IL 61801","$1,295",2 beds,apartments.com,https://www.apartments.com/208-n-harvey-st-urbana-il/g0bttqw/
"208 N Harvey St, Urbana, IL 61801","$1,695",3 beds,apartments.com,https://www.apartments.com/208-n-harvey-st-urbana-il/g0bttqw/
"1003 W Stoughton St, Urbana, IL 61801","$1,050",1 bed,apartments.com,https://www.apartments.com/1003-w-stoughton-urbana-il/5jkv62m/
"1003 W Stoughton St, Urbana, IL 61801","$1,050",2 beds,apartments.com,https://www.apartments.com/1003-w-stoughton-urbana-il/5jkv62m/
